ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,3,1,2024-01-19,1,13,59,198,25,3,1,0
2,5,1,2025-10-11,1,17,78,269,34,4,1,0
3,5,1,2025-08-15,1,17,78,269,34,5,1,0
4,5,1,2024-07-27,1,17,78,271,34,6,1,0
5,6,1,2025-04-15,1,17,78,270,33,7,1,0
6,6,1,2026-04-01,1,17,78,271,33,8,1,0
7,6,1,2024-08-20,1,17,78,271,33,9,1,0
8,6,1,2026-01-12,1,17,78,271,33,10,1,0
9,8,1,2025-10-05,1,2,9,26,3,11,1,0
10,10,1,2025-09-13,1,13,58,194,26,12,1,0
11,10,1,2024-05-08,1,13,58,195,26,13,1,0
12,12,1,2024-06-06,1,21,90,315,41,14,1,0
13,12,1,2024-12-04,1,21,90,315,41,15,1,0
14,13,1,2025-05-10,1,13,61,205,25,16,1,0
15,13,1,2025-07-02,1,13,61,205,25,17,1,0
16,14,1,2024-08-06,1,17,73,247,34,18,1,0
17,15,1,2025-01-02,1,5,29,101,9,19,1,0
18,15,1,2025-02-03,1,5,29,100,9,20,1,0
19,15,1,2024-03-21,1,5,29,100,9,21,1,0
20,16,1,2025-08-15,1,19,83,286,37,22,1,0
21,19,1,2025-09-14,1,5,21,69,9,23,1,0
22,19,1,2024-06-24,1,5,21,71,9,24,1,0
23,22,1,2026-03-14,1,20,87,300,39,25,1,0
24,22,1,2024-03-11,1,20,87,300,39,26,1,0
25,26,1,2024-05-31,1,17,77,264,33,27,1,0
26,26,1,2025-06-28,1,17,77,264,33,28,1,0
27,27,1,2024-11-12,1,17,74,254,33,29,1,0
28,27,1,2025-02-07,1,17,74,253,33,30,1,0
29,28,1,2026-05-09,1,26,110,389,51,31,1,0
30,28,1,2026-04-21,1,26,110,389,51,32,1,0
31,29,1,2025-03-14,1,21,89,311,42,33,1,0
32,29,1,2025-02-14,1,21,89,308,42,34,1,0
33,29,1,2024-02-24,1,21,89,307,42,35,1,0
34,30,1,2025-01-10,1,15,67,226,30,36,1,0
35,31,1,2025-08-20,1,5,24,80,9,37,1,0
36,33,1,2026-05-20,1,2,9,28,3,38,1,0
37,34,1,2025-11-24,1,2,8,24,3,39,1,0
38,35,1,2025-03-15,1,13,59,196,26,40,1,0
39,38,1,2026-04-27,1,17,74,254,34,41,1,0
40,39,1,2024-03-15,1,2,6,21,4,42,1,0
41,39,1,2024-05-28,1,2,6,21,4,43,1,0
42,39,1,2025-08-18,1,2,6,21,4,44,1,0
43,39,1,2025-12-16,1,2,6,20,4,45,1,0
44,42,1,2025-08-30,1,29,119,420,57,46,1,0
45,42,1,2024-02-19,1,29,119,421,57,47,1,0
46,43,1,2024-11-30,1,5,29,101,10,48,1,0
47,43,1,2026-01-04,1,5,29,100,10,49,1,0
48,43,1,2025-06-16,1,5,29,100,10,50,1,0
49,43,1,2024-11-20,1,5,29,101,10,51,1,0
50,43,1,2024-03-03,1,5,29,101,10,52,1,0
51,44,1,2026-02-07,1,5,26,90,10,53,1,0
52,45,1,2025-10-30,1,11,51,173,21,54,1,0
53,45,1,2025-11-13,1,11,51,175,21,55,1,0
54,46,1,2024-03-03,1,17,77,264,34,56,1,0
55,46,1,2025-12-23,1,17,77,267,34,57,1,0
56,47,1,2025-12-14,1,17,74,251,34,58,1,0
57,47,1,2024-07-11,1,17,74,253,34,59,1,0
58,47,1,2026-05-31,1,17,74,253,34,60,1,0
59,47,1,2025-12-31,1,17,74,254,34,61,1,0
60,47,1,2026-06-16,1,17,74,254,34,62,1,0
61,48,1,2025-03-01,1,23,97,340,45,63,1,0
62,48,1,2024-07-01,1,23,97,339,45,64,1,0
63,49,1,2024-06-28,1,12,53,180,23,65,1,0
64,50,1,2025-10-09,1,21,88,304,42,66,1,0
65,51,1,2024-10-17,1,13,60,200,25,67,1,0
66,52,1,2026-01-02,1,25,103,366,50,68,1,0
67,54,1,2026-03-07,1,13,60,200,26,69,1,0
68,55,1,2024-03-16,1,16,70,237,31,70,1,0
69,55,1,2026-01-12,1,16,70,238,31,71,1,0
70,55,1,2026-03-09,1,16,70,237,31,72,1,0
71,56,1,2024-04-20,1,5,28,97,9,73,1,0
72,56,1,2024-06-03,1,5,28,98,9,74,1,0
73,56,1,2024-05-16,1,5,28,98,9,75,1,0
74,56,1,2025-11-21,1,5,28,98,9,76,1,0
