CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100250105202500001,202500001,2025-05-20,371,105,1,2,3,12,5,50,2025-05-19,2025-05-19,2025-05-20,13.987348,75.550584,"On 2025-05-20, the complainant reported that the complainant was cheated of money on false pretences at Area-8 area of Shivamogga.  The matter was registered and taken up for investigation."
2,100310125202600001,202600001,2026-07-10,441,125,1,2,2,10,1,62,2026-07-07,2026-07-07,2026-07-10,15.141701,76.560063,"A complaint was received on 2026-07-10 stating that the complainant's gold chain was snatched by persons on a two-wheeler near Area-3, Vijayanagara.  Investigation has been initiated by the station."
3,100130059202500001,202500001,2025-10-11,196,59,1,2,1,3,3,25,2025-10-08,2025-10-08,2025-10-11,15.444822,74.955646,"On 2025-10-11, information was received at the station regarding the victim sustained grievous injuries following an altercation in Area-2 locality, Dharwad district. Preliminary information suggests a pattern consistent with prior cases in the area."
4,100050029202400001,202400001,2024-03-09,100,29,1,2,7,24,8,9,2024-03-09,2024-03-09,2024-03-09,13.01605,77.703438,"A complaint was received on 2024-03-09 stating that the complainant's personal credentials were misused for financial fraud near Area-12, Bengaluru Urban.  Investigation has been initiated by the station."
5,100170078202500001,202500001,2025-04-07,270,78,1,2,2,8,7,34,2025-04-04,2025-04-04,2025-04-07,17.228633,76.802022,"A complaint was received on 2025-04-07 stating that the complainant was robbed at knifepoint near Area-1, Kalaburagi.  Investigation has been initiated by the station."
6,400170078202600001,202600001,2026-03-06,270,78,4,1,2,9,4,33,2026-03-05,2026-03-05,2026-03-06,17.284343,76.754335,"A complaint was received on 2026-03-06 stating that a group of armed persons robbed the complainant's premises near Area-14, Kalaburagi.  Investigation has been initiated by the station."
7,100100043202500001,202500001,2025-07-15,146,43,1,2,5,19,8,19,2025-07-15,2025-07-15,2025-07-15,14.181693,76.307488,"On 2025-07-15, information was received at the station regarding narcotic substances were recovered from the accused in Area-9 locality, Chitradurga district. "
8,800020009202600001,202600001,2026-02-26,29,9,3,2,2,10,4,3,2026-02-23,2026-02-23,2026-02-26,15.194837,77.002787,"A complaint was received on 2026-02-26 stating that the complainant's gold chain was snatched by persons on a two-wheeler near Area-18, Ballari. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
9,100120054202500001,202500001,2025-06-27,181,54,1,2,2,10,8,24,2025-06-24,2025-06-24,2025-06-27,14.372307,75.862816,"On 2025-06-27, the complainant reported that the complainant's gold chain was snatched by persons on a two-wheeler at Area-4 area of Davanagere.  The matter was registered and taken up for investigation."
10,100130058202500001,202500001,2025-07-03,195,58,1,2,2,8,4,26,2025-07-01,2025-07-01,2025-07-03,15.551132,74.938001,"On 2025-07-03, the complainant reported that the complainant was robbed at knifepoint at Area-17 area of Dharwad. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
11,100050028202600001,202600001,2026-03-02,99,28,1,2,3,14,8,10,2026-03-01,2026-03-01,2026-03-02,13.033428,77.538216,"On 2026-03-02, information was received at the station regarding counterfeit currency notes were found in circulation in Area-12 locality, Bengaluru Urban district. "
12,100210090202500001,202500001,2025-01-25,314,90,1,2,2,10,4,41,2025-01-25,2025-01-25,2025-01-25,12.438261,76.98678,"A complaint was received on 2025-01-25 stating that the complainant's gold chain was snatched by persons on a two-wheeler near Area-10, Mandya.  Investigation has been initiated by the station."
13,800130061202600001,202600001,2026-07-10,204,61,3,2,2,7,2,25,2026-07-09,2026-07-09,2026-07-10,15.421871,74.924292,"On 2026-07-10, the complainant reported that the complainant's house was broken into and valuables were stolen at Area-2 area of Dharwad.  The matter was registered and taken up for investigation."
14,100170073202400001,202400001,2024-11-15,249,73,1,1,4,18,6,34,2024-11-14,2024-11-14,2024-11-15,17.408805,76.884985,"On 2024-11-15, the complainant reported that a sexual offence was reported against the complainant at Area-5 area of Kalaburagi.  The matter was registered and taken up for investigation."
