HistoryID,CaseMasterID,CaseStatusID,ChangedByEmployeeID,ChangeDate,Remarks
1,1,1,371,2025-05-20,Case registered
2,1,2,371,2025-05-30,Investigation taken up
3,1,5,371,2025-11-24,Status updated to Closed - Convicted
4,2,1,441,2026-07-10,Case registered
5,3,1,196,2025-10-11,Case registered
6,3,2,196,2025-10-30,Investigation taken up
7,3,3,196,2025-12-13,Status updated to Charge Sheeted
8,4,1,100,2024-03-09,Case registered
9,4,2,100,2024-03-22,Investigation taken up
10,4,8,100,2024-09-26,Status updated to Closed - Undetected
11,5,1,270,2025-04-07,Case registered
12,5,2,270,2025-04-27,Investigation taken up
13,5,7,270,2025-11-01,Status updated to Closed - False Case
14,6,1,270,2026-03-06,Case registered
15,6,2,270,2026-04-04,Investigation taken up
16,6,4,270,2026-12-22,Status updated to Pending Trial
17,7,1,146,2025-07-15,Case registered
18,7,2,146,2025-07-31,Investigation taken up
19,7,8,146,2025-10-24,Status updated to Closed - Undetected
20,8,1,29,2026-02-26,Case registered
21,8,2,29,2026-03-24,Investigation taken up
22,8,4,29,2026-09-24,Status updated to Pending Trial
23,9,1,181,2025-06-27,Case registered
24,9,2,181,2025-07-09,Investigation taken up
25,9,8,181,2026-02-27,Status updated to Closed - Undetected
26,10,1,195,2025-07-03,Case registered
27,10,2,195,2025-08-01,Investigation taken up
28,10,4,195,2026-03-29,Status updated to Pending Trial
29,11,1,99,2026-03-02,Case registered
30,11,2,99,2026-03-29,Investigation taken up
31,11,8,99,2026-11-03,Status updated to Closed - Undetected
32,12,1,314,2025-01-25,Case registered
33,12,2,314,2025-02-17,Investigation taken up
34,12,4,314,2025-05-12,Status updated to Pending Trial
35,13,1,204,2026-07-10,Case registered
36,13,2,204,2026-07-20,Investigation taken up
37,14,1,249,2024-11-15,Case registered
38,14,2,249,2024-12-01,Investigation taken up
39,14,6,249,2025-01-19,Status updated to Closed - Acquitted
40,15,1,101,2026-03-11,Case registered
41,15,2,101,2026-03-16,Investigation taken up
42,15,4,101,2026-11-18,Status updated to Pending Trial
43,16,1,285,2025-02-12,Case registered
44,16,2,285,2025-02-28,Investigation taken up
45,16,5,285,2025-11-14,Status updated to Closed - Convicted
46,17,1,164,2026-05-01,Case registered
47,17,2,164,2026-05-19,Investigation taken up
48,18,1,42,2024-10-24,Case registered
49,18,2,42,2024-11-05,Investigation taken up
50,18,6,42,2025-07-25,Status updated to Closed - Acquitted
51,19,1,69,2024-01-06,Case registered
52,19,2,69,2024-01-15,Investigation taken up
53,19,7,69,2024-10-04,Status updated to Closed - False Case
54,20,1,96,2026-03-10,Case registered
55,20,2,96,2026-03-29,Investigation taken up
56,20,3,96,2026-07-11,Status updated to Charge Sheeted
57,21,1,404,2025-11-01,Case registered
58,21,2,404,2025-11-17,Investigation taken up
59,21,3,404,2026-05-20,Status updated to Charge Sheeted
60,22,1,298,2026-06-08,Case registered
61,22,2,298,2026-07-01,Investigation taken up
62,22,3,298,2027-02-16,Status updated to Charge Sheeted
63,23,1,88,2026-07-10,Case registered
64,24,1,102,2025-03-11,Case registered
65,24,2,102,2025-03-18,Investigation taken up
66,24,7,102,2026-01-02,Status updated to Closed - False Case
67,25,1,79,2025-12-28,Case registered
68,25,2,79,2026-01-09,Investigation taken up
69,25,3,79,2026-06-11,Status updated to Charge Sheeted
70,26,1,266,2025-04-13,Case registered
71,26,2,266,2025-05-13,Investigation taken up
72,26,6,266,2025-06-06,Status updated to Closed - Acquitted
73,27,1,252,2025-02-15,Case registered
74,27,2,252,2025-03-10,Investigation taken up
75,27,6,252,2025-10-04,Status updated to Closed - Acquitted
76,28,1,388,2024-03-03,Case registered
77,28,2,388,2024-03-09,Investigation taken up
78,28,5,388,2024-04-07,Status updated to Closed - Convicted
79,29,1,308,2026-04-05,Case registered
80,29,2,308,2026-04-18,Investigation taken up
81,30,1,226,2026-02-02,Case registered
82,30,2,226,2026-03-01,Investigation taken up
83,30,3,226,2026-09-01,Status updated to Charge Sheeted
84,31,1,81,2025-05-13,Case registered
85,31,2,81,2025-06-06,Investigation taken up
86,31,4,81,2026-01-26,Status updated to Pending Trial
87,32,1,377,2026-01-02,Case registered
88,32,2,377,2026-01-08,Investigation taken up
89,32,4,377,2026-08-26,Status updated to Pending Trial
90,33,1,30,2024-04-21,Case registered
91,33,2,30,2024-05-04,Investigation taken up
92,33,4,30,2024-08-20,Status updated to Pending Trial
93,34,1,25,2025-12-27,Case registered
94,34,2,25,2026-01-18,Investigation taken up
95,34,4,25,2026-04-20,Status updated to Pending Trial
96,35,1,198,2024-05-14,Case registered
97,35,2,198,2024-05-29,Investigation taken up
98,35,5,198,2024-10-01,Status updated to Closed - Convicted
99,36,1,422,2025-04-21,Case registered
100,36,2,422,2025-04-30,Investigation taken up
101,36,8,422,2025-07-21,Status updated to Closed - Undetected
102,37,1,82,2026-01-28,Case registered
103,37,2,82,2026-02-24,Investigation taken up
104,37,8,82,2026-08-14,Status updated to Closed - Undetected
105,38,1,255,2026-01-11,Case registered
106,38,2,255,2026-02-10,Investigation taken up
107,38,3,255,2026-10-01,Status updated to Charge Sheeted
108,39,1,21,2026-04-15,Case registered
109,39,2,21,2026-05-11,Investigation taken up
110,40,1,371,2024-10-19,Case registered
111,40,2,371,2024-11-03,Investigation taken up
112,40,4,371,2025-06-09,Status updated to Pending Trial
113,41,1,181,2025-08-27,Case registered
114,41,2,181,2025-09-01,Investigation taken up
115,41,8,181,2026-06-21,Status updated to Closed - Undetected
116,42,1,422,2026-03-22,Case registered
117,42,2,422,2026-04-05,Investigation taken up
118,42,3,422,2027-01-04,Status updated to Charge Sheeted
119,43,1,101,2024-03-16,Case registered
120,43,2,101,2024-03-24,Investigation taken up
121,43,5,101,2024-07-18,Status updated to Closed - Convicted
122,44,1,88,2025-10-12,Case registered
123,44,2,88,2025-10-24,Investigation taken up
124,44,3,88,2026-08-04,Status updated to Charge Sheeted
125,45,1,173,2024-07-25,Case registered
126,45,2,173,2024-08-09,Investigation taken up
127,45,5,173,2024-09-24,Status updated to Closed - Convicted
128,46,1,265,2024-05-24,Case registered
129,46,2,265,2024-06-08,Investigation taken up
130,46,6,265,2025-01-13,Status updated to Closed - Acquitted
131,47,1,254,2024-01-18,Case registered
132,47,2,254,2024-02-12,Investigation taken up
133,47,7,254,2024-04-02,Status updated to Closed - False Case
134,48,1,342,2025-05-02,Case registered
135,48,2,342,2025-05-31,Investigation taken up
136,48,5,342,2025-06-09,Status updated to Closed - Convicted
137,49,1,180,2025-11-02,Case registered
138,49,2,180,2025-11-28,Investigation taken up
139,49,4,180,2026-07-26,Status updated to Pending Trial
140,50,1,305,2026-02-25,Case registered
141,50,2,305,2026-03-17,Investigation taken up
142,50,3,305,2026-07-19,Status updated to Charge Sheeted
143,51,1,200,2025-10-20,Case registered
144,51,2,200,2025-11-17,Investigation taken up
145,51,4,200,2025-12-05,Status updated to Pending Trial
146,52,1,362,2024-12-26,Case registered
147,52,2,362,2025-01-10,Investigation taken up
148,52,6,362,2025-04-17,Status updated to Closed - Acquitted
149,53,1,99,2025-09-07,Case registered
150,53,2,99,2025-09-24,Investigation taken up
151,53,8,99,2026-04-23,Status updated to Closed - Undetected
152,54,1,200,2025-08-26,Case registered
153,54,2,200,2025-09-07,Investigation taken up
154,54,4,200,2026-04-06,Status updated to Pending Trial
155,55,1,238,2025-08-09,Case registered
156,55,2,238,2025-08-27,Investigation taken up
157,55,3,238,2025-12-26,Status updated to Charge Sheeted
158,56,1,97,2025-07-20,Case registered
159,56,2,97,2025-08-09,Investigation taken up
160,56,4,97,2026-05-12,Status updated to Pending Trial
