CellID,GridLat,GridLng,DistrictID,TimeWindow,CrimeCount,TrendDirection
1,13.99,75.55,25,2025-05,1,stable
2,15.14,76.56,31,2026-07,1,stable
3,15.44,74.96,13,2025-10,1,stable
4,13.02,77.7,5,2024-03,1,stable
5,17.23,76.8,17,2025-04,1,stable
6,17.28,76.75,17,2026-03,1,stable
7,14.18,76.31,10,2025-07,1,stable
8,15.19,77.0,2,2026-02,1,stable
9,14.37,75.86,12,2025-06,1,stable
10,15.55,74.94,13,2024-07,1,stable
11,15.55,74.94,13,2025-07,1,stable
12,13.03,77.54,5,2026-03,1,stable
13,12.44,76.99,21,2025-01,1,stable
14,15.42,74.92,13,2026-07,1,stable
15,17.41,76.88,17,2024-11,1,stable
16,17.41,76.88,17,2025-05,1,stable
17,12.99,77.62,5,2024-03,1,stable
18,12.99,77.62,5,2024-06,1,stable
19,12.99,77.62,5,2025-03,1,stable
20,12.99,77.62,5,2025-05,1,stable
21,12.99,77.62,5,2026-01,1,stable
22,12.99,77.62,5,2026-03,1,stable
23,12.99,77.62,5,2026-04,1,stable
24,13.15,78.2,19,2025-02,1,stable
25,12.8,74.86,11,2026-02,1,stable
26,12.8,74.86,11,2026-05,1,stable
27,15.83,74.49,3,2024-10,1,stable
28,12.99,77.7,5,2024-01,1,stable
29,12.99,77.7,5,2025-01,1,stable
30,12.96,77.62,5,2024-04,1,stable
31,12.96,77.62,5,2025-03,1,stable
32,12.96,77.62,5,2026-03,1,stable
33,12.96,77.62,5,2026-06,1,stable
34,14.81,74.63,28,2025-11,1,stable
35,15.3,76.12,20,2026-06,1,stable
36,12.97,77.68,5,2026-02,1,stable
37,12.97,77.68,5,2026-07,1,stable
38,12.94,77.57,5,2024-03,1,stable
39,12.94,77.57,5,2024-04,1,stable
40,12.94,77.57,5,2025-03,1,stable
41,12.94,77.57,5,2025-05,1,stable
42,12.97,77.6,5,2024-05,1,stable
43,12.97,77.6,5,2024-12,1,stable
44,12.97,77.6,5,2025-01,1,stable
45,12.97,77.6,5,2025-06,1,stable
46,12.97,77.6,5,2025-07,1,stable
47,12.97,77.6,5,2025-10,1,stable
48,12.97,77.6,5,2025-12,1,stable
49,12.97,77.6,5,2026-05,2,up
50,12.97,77.6,5,2026-07,4,up
51,17.37,76.76,17,2025-04,1,stable
52,17.29,76.83,17,2025-02,1,stable
53,13.39,77.21,26,2024-03,1,stable
54,12.48,76.98,21,2026-04,1,stable
55,12.94,76.04,15,2026-02,1,stable
56,13.36,77.14,26,2026-01,1,stable
57,15.14,76.97,2,2024-04,1,stable
58,15.06,76.87,2,2025-12,1,stable
59,15.39,75.08,13,2024-05,1,stable
60,16.93,75.79,29,2025-04,1,stable
61,12.96,77.6,5,2024-02,1,stable
62,12.96,77.6,5,2024-05,1,stable
63,12.96,77.6,5,2024-06,1,stable
64,12.96,77.6,5,2024-08,1,stable
65,12.96,77.6,5,2025-02,1,stable
66,12.96,77.6,5,2026-01,2,up
67,17.33,76.92,17,2026-01,1,stable
68,15.24,76.95,2,2026-04,1,stable
69,14.01,75.69,25,2024-10,1,stable
70,14.46,76.04,12,2025-08,1,stable
71,16.75,75.6,29,2026-03,1,stable
72,12.99,77.57,5,2024-02,1,stable
73,12.99,77.57,5,2025-09,1,stable
74,12.99,77.57,5,2025-10,1,stable
75,12.99,77.57,5,2026-03,1,stable
76,12.99,77.57,5,2026-04,1,stable
77,12.99,77.57,5,2026-05,1,stable
78,12.86,74.93,11,2024-07,1,stable
79,17.38,76.89,17,2024-05,1,stable
80,17.43,76.79,17,2024-01,1,stable
81,16.1,77.44,23,2025-05,1,stable
82,14.4,75.89,12,2025-11,1,stable
83,12.44,76.96,21,2026-02,1,stable
84,15.49,74.97,13,2025-10,1,stable
85,13.81,75.64,25,2024-12,1,stable
86,13.03,77.69,5,2025-09,1,stable
87,15.43,74.96,13,2025-08,1,stable
88,14.82,75.47,16,2025-08,1,stable
89,12.9,77.7,5,2025-07,1,stable
90,12.9,77.7,5,2026-01,1,stable
91,12.9,77.7,5,2026-02,1,stable
92,14.56,76.02,12,2024-09,1,stable
93,14.86,75.3,16,2025-07,1,stable
94,12.71,77.23,24,2025-03,1,stable
95,12.98,77.57,5,2024-08,1,stable
96,12.98,77.57,5,2024-11,1,stable
97,12.98,77.57,5,2025-10,1,stable
98,12.98,77.57,5,2025-12,1,stable
99,12.98,77.57,5,2026-01,2,up
100,12.98,77.57,5,2026-03,1,down
101,12.98,77.57,5,2026-04,1,stable
102,12.98,77.57,5,2026-05,1,stable
103,15.89,74.5,3,2026-07,1,stable
104,12.99,76.08,15,2024-12,1,stable
105,12.46,77.0,21,2026-02,1,stable
106,15.16,76.52,31,2026-06,1,stable
107,12.96,75.99,15,2024-08,1,stable
108,15.24,76.03,20,2026-05,1,stable
109,12.61,77.34,24,2026-03,1,stable
110,13.38,77.14,26,2025-11,1,stable
111,12.24,76.71,22,2026-07,1,stable
112,13.36,77.62,8,2024-06,1,stable
113,12.9,74.8,11,2026-06,1,stable
114,15.2,76.86,2,2026-06,1,stable
115,12.99,77.59,5,2024-02,1,stable
116,12.99,77.59,5,2024-10,1,stable
117,12.99,77.59,5,2024-11,1,stable
118,12.99,77.59,5,2025-12,1,stable
119,12.99,77.59,5,2026-01,1,stable
120,12.99,77.59,5,2026-03,1,stable
121,12.99,77.59,5,2026-05,1,stable
122,17.97,77.56,6,2026-04,1,stable
123,17.27,76.92,17,2025-08,1,stable
124,15.19,76.88,2,2026-03,1,stable
125,12.9,77.49,5,2024-07,1,stable
126,12.9,77.49,5,2024-12,1,stable
127,14.42,75.92,12,2025-08,1,stable
128,12.88,74.92,11,2024-10,1,stable
129,14.48,75.83,12,2026-05,1,stable
130,13.17,77.38,4,2025-10,1,stable
131,14.75,74.72,28,2026-05,1,stable
132,12.37,76.67,22,2024-12,1,stable
133,15.85,74.39,3,2024-07,1,stable
134,15.85,74.39,3,2026-03,1,stable
135,13.82,75.67,25,2024-08,1,stable
136,13.82,75.67,25,2026-03,1,stable
137,13.26,77.41,4,2025-08,1,stable
138,12.78,77.35,24,2026-05,1,stable
139,12.81,74.78,11,2024-03,1,stable
140,12.81,74.78,11,2024-12,1,stable
141,12.79,74.95,11,2026-02,1,stable
142,13.01,77.59,5,2025-03,1,stable
143,13.01,77.59,5,2026-03,1,stable
144,16.8,75.67,29,2026-03,1,stable
145,11.85,76.9,7,2024-02,1,stable
146,16.81,75.67,29,2026-05,1,stable
147,13.02,77.51,5,2025-05,1,stable
148,13.02,77.51,5,2025-12,1,stable
149,13.33,77.09,26,2025-11,1,stable
150,14.5,75.86,12,2025-11,1,stable
151,14.27,76.35,10,2025-03,1,stable
152,13.14,78.03,19,2026-05,1,stable
153,12.5,76.98,21,2025-01,1,stable
154,12.33,76.54,22,2025-05,1,stable
155,12.95,77.52,5,2025-10,1,stable
156,12.95,77.52,5,2026-02,1,stable
157,14.69,75.33,16,2024-12,1,stable
158,12.24,76.75,22,2025-06,1,stable
159,14.34,76.36,10,2024-11,1,stable
160,13.02,76.01,15,2026-06,1,stable
161,15.41,76.12,20,2026-04,1,stable
162,15.74,74.38,3,2025-10,1,stable
163,15.44,74.97,13,2024-10,1,stable
164,14.86,75.35,16,2026-04,1,stable
165,13.0,77.56,5,2025-01,1,stable
166,13.0,77.56,5,2025-11,1,stable
167,12.85,77.65,5,2024-10,1,stable
168,15.48,74.88,13,2025-10,1,stable
169,15.18,77.0,2,2026-07,1,stable
170,15.21,76.54,31,2025-07,1,stable
171,16.9,75.78,29,2026-05,1,stable
172,13.37,77.7,8,2026-01,1,stable
173,12.7,77.39,24,2024-01,1,stable
174,15.96,74.48,3,2024-08,1,stable
175,13.05,76.01,15,2025-03,1,stable
176,14.47,75.94,12,2025-12,1,stable
177,14.47,75.94,12,2026-04,1,stable
178,17.23,76.87,17,2025-10,1,stable
179,17.23,76.87,17,2026-05,1,stable
180,15.41,76.18,20,2026-05,1,stable
181,12.86,77.58,5,2025-08,1,stable
182,13.25,77.53,4,2026-02,1,stable
183,16.27,75.6,1,2025-12,1,stable
184,13.2,77.47,4,2025-09,1,stable
185,15.04,76.99,2,2025-07,1,stable
186,15.04,76.99,2,2026-03,1,stable
187,15.23,76.98,2,2025-04,1,stable
188,15.34,75.51,14,2025-12,1,stable
189,15.11,77.04,2,2025-04,1,stable
190,12.41,76.54,22,2025-07,1,stable
191,13.21,78.23,19,2024-04,1,stable
192,15.74,74.53,3,2025-06,1,stable
193,16.76,75.76,29,2024-01,1,stable
194,12.99,77.58,5,2024-01,1,stable
195,12.99,77.58,5,2024-12,1,stable
196,12.99,77.58,5,2025-10,1,stable
197,12.99,77.58,5,2026-02,2,up
198,12.99,77.58,5,2026-03,3,up
199,12.99,77.58,5,2026-05,1,down
200,12.99,77.58,5,2026-06,1,stable
201,14.68,75.39,16,2026-05,1,stable
202,13.01,77.5,5,2025-01,1,stable
203,13.01,77.5,5,2025-02,1,stable
204,15.89,74.54,3,2025-10,1,stable
205,12.37,76.74,22,2025-06,1,stable
206,17.79,77.53,6,2024-12,1,stable
207,12.89,77.64,5,2026-04,1,stable
208,12.95,77.58,5,2025-01,1,stable
209,12.95,77.58,5,2025-04,1,stable
210,12.95,77.58,5,2025-08,1,stable
211,12.95,77.58,5,2026-02,1,stable
212,12.95,77.58,5,2026-03,3,up
213,12.95,77.58,5,2026-07,1,down
214,13.27,77.17,26,2025-12,1,stable
215,16.12,75.62,1,2024-12,1,stable
216,14.04,75.56,25,2024-12,1,stable
217,13.02,78.25,19,2025-04,1,stable
218,13.26,77.38,4,2025-11,1,stable
219,15.25,76.56,31,2026-01,1,stable
220,12.93,77.68,5,2026-02,1,stable
221,16.25,75.81,1,2024-12,1,stable
222,14.82,75.44,16,2025-04,1,stable
223,14.82,75.44,16,2026-02,1,stable
224,16.82,75.81,29,2025-07,1,stable
225,12.98,77.62,5,2024-10,1,stable
226,12.98,77.62,5,2025-09,1,stable
227,12.98,77.62,5,2025-10,1,stable
228,12.98,77.62,5,2026-02,1,stable
229,12.98,77.62,5,2026-04,1,stable
230,13.43,74.65,27,2025-04,1,stable
231,13.0,77.59,5,2024-01,1,stable
232,13.0,77.59,5,2025-05,1,stable
233,12.97,77.62,5,2025-03,1,stable
234,12.97,77.62,5,2025-04,1,stable
235,12.97,77.62,5,2026-01,1,stable
236,12.97,77.62,5,2026-04,1,stable
237,12.97,77.62,5,2026-07,1,stable
238,12.9,77.67,5,2024-12,1,stable
239,12.9,77.67,5,2025-08,1,stable
240,13.27,77.6,4,2025-06,1,stable
241,15.94,74.47,3,2024-07,1,stable
242,15.19,76.48,31,2025-07,1,stable
243,12.33,76.53,22,2025-09,1,stable
244,12.99,76.15,15,2024-04,1,stable
245,12.74,77.3,24,2024-10,1,stable
246,12.94,77.56,5,2024-05,1,stable
247,12.94,77.56,5,2026-06,1,stable
248,13.25,77.44,4,2024-10,1,stable
249,13.45,77.15,26,2024-12,1,stable
250,12.97,74.85,11,2025-01,1,stable
251,12.97,74.85,11,2025-10,1,stable
252,14.14,76.41,10,2024-12,1,stable
253,15.35,75.06,13,2025-10,1,stable
254,12.86,77.49,5,2024-04,1,stable
255,15.16,76.46,31,2026-07,1,stable
256,14.69,75.36,16,2026-02,1,stable
257,13.46,77.8,8,2026-05,1,stable
258,17.39,76.94,17,2026-02,1,stable
259,17.88,77.58,6,2025-02,1,stable
260,12.31,76.65,22,2026-02,1,stable
261,13.48,77.63,8,2026-02,1,stable
262,15.53,74.9,13,2026-07,1,stable
263,16.07,75.68,1,2025-01,1,stable
264,16.14,75.71,1,2026-04,1,stable
265,13.06,76.09,15,2025-02,1,stable
266,15.36,75.03,13,2025-10,1,stable
267,15.16,76.4,31,2025-09,1,stable
268,15.17,76.93,2,2024-06,1,stable
269,15.17,76.93,2,2024-10,1,stable
270,13.05,78.12,19,2025-06,1,stable
271,12.41,76.6,22,2025-01,1,stable
272,12.86,74.89,11,2026-03,1,stable
273,12.86,74.89,11,2026-06,1,stable
274,12.6,76.92,21,2024-05,1,stable
275,15.8,74.5,3,2024-07,1,stable
